,2023年上海国际电影节排片表,,,,,,,,,,
ID,中文片名,英文片名,导演,制片国/地区,时长,日期,放映时间,影院,影厅,影院地址,余票
34,坂本龙一：终曲,RYUICHI SAKAMOTO: CODA,史蒂芬·野村·斯奇博,"日本,美国",100,6月12日,13:00,上海百丽宫影城（LUXE长宁来福士店）,LUXE激光巨幕厅,长宁区长宁路1123号七层701-703,50
35,坂本龙一：终曲,RYUICHI SAKAMOTO: CODA,史蒂芬·野村·斯奇博,"日本,美国",100,6月14日,18:30,天山电影院-虹桥艺术中心旗舰店,4号厅,长宁区天山路888号,50
36,坂本龙一：终曲,RYUICHI SAKAMOTO: CODA,史蒂芬·野村·斯奇博,"日本,美国",100,6月17日,18:30,上海美琪大戏院,观众厅,静安区江宁路66号,50
37,坂本龙一：终曲,RYUICHI SAKAMOTO: CODA,史蒂芬·野村·斯奇博,"日本,美国",100,6月18日,18:30,上海大光明电影院,1号厅,黄浦区南京西路216号,50
38,野兽的青春,YOUTH OF THE BEAST,铃木清顺,日本,92,6月10日,20:40,博纳UA梅龙镇广场电影城,2号全景声厅,静安区南京西路1038号梅龙镇广场10楼,50
39,野兽的青春,YOUTH OF THE BEAST,铃木清顺,日本,92,6月11日,20:40,曹杨影城,1号4K激光厅,普陀区兰溪路125号2楼,50
40,野兽的青春,YOUTH OF THE BEAST,铃木清顺,日本,92,6月12日,20:40,红星电影世界上海吴中路旗舰店,10号厅LUXE巨幕厅,闵行区吴中路1588号爱琴海购物公园7楼,50
41,野兽的青春,YOUTH OF THE BEAST,铃木清顺,日本,92,6月14日,20:40,上海百丽宫影城（LUXE长宁来福士店）,LUXE激光巨幕厅,长宁区长宁路1123号七层701-703,50
42,死神的呼唤,THE SHOUT,杰兹·斯科利莫夫斯基,英国,87,6月15日,20:40,SFC上海影城,2号厅Onyx,长宁区新华路160号,50
43,死神的呼唤,THE SHOUT,杰兹·斯科利莫夫斯基,英国,87,6月17日,20:40,CMG融媒影城,4号厅,徐汇区龙文路19号1-4层,50
44,月光,MOONLIGHTING,杰兹·斯科利莫夫斯基,英国,98,6月9日,18:30,上海百丽宫影城（LUXE长宁来福士店）,LUXE激光巨幕厅,长宁区长宁路1123号七层701-703,50
45,月光,MOONLIGHTING,杰兹·斯科利莫夫斯基,英国,98,6月18日,15:30,红星电影世界上海吴中路旗舰店,10号厅LUXE巨幕厅,闵行区吴中路1588号爱琴海购物公园7楼,50
46,六号关口,LAST SENTINEL,塔内尔·托奥姆,英国,113,6月10日,15:30,博纳UA梅龙镇广场电影城,3号厅,静安区南京西路1038号梅龙镇广场10楼,50
47,六号关口,LAST SENTINEL,塔内尔·托奥姆,英国,113,6月11日,13:00,嘉定影剧院,三号剧院大厅,嘉定区城中路149号,50
48,六号关口,LAST SENTINEL,塔内尔·托奥姆,英国,113,6月13日,20:40,万达影城（宝山万达广场激光IMAX店）,10号厅,宝山区一二八纪念路936号5楼,50
49,六号关口,LAST SENTINEL,塔内尔·托奥姆,英国,113,6月17日,13:00,红星电影世界上海松江开元地中海,1号厅,松江区新松江路927号4F,50
50,愿大家拥有幸福,BEST REGARDS TO ALL,下津优太,日本,89,6月10日,20:40,UME影城（上海新天地店）,Onyx 4K LED巨幕厅,黄浦区兴业路123弄6号楼新天地时尚I座5楼,50
51,愿大家拥有幸福,BEST REGARDS TO ALL,下津优太,日本,89,6月12日,20:40,世纪友谊影城（LUXE南方商城店）,6号LUXE巨幕厅,闵行区沪闵路7250号百联南方二期9楼,50
52,愿大家拥有幸福,BEST REGARDS TO ALL,下津优太,日本,89,6月16日,20:40,博纳UA梅龙镇广场电影城,2号全景声厅,静安区南京西路1038号梅龙镇广场10楼,50
53,愿大家拥有幸福,BEST REGARDS TO ALL,下津优太,日本,89,6月17日,20:40,FANCL艺术中心（艺海剧院）,大剧场,静安区江宁路466号,50
54,愿大家拥有幸福,BEST REGARDS TO ALL,下津优太,日本,89,6月18日,20:40,上海百丽宫影城（万象城店）,CINITY LUXE巨幕厅,闵行区吴中路1599号L501商铺,50
55,消失的情人节,"ONE SECOND AHEAD, ONE SECOND BEHIND",山下敦弘,日本,120,6月10日,15:30,天山电影院-虹桥艺术中心旗舰店,剧院厅,长宁区天山路888号,50
56,消失的情人节,"ONE SECOND AHEAD, ONE SECOND BEHIND",山下敦弘,日本,120,6月12日,20:40,上海大光明电影院,1号厅,黄浦区南京西路216号,50
57,消失的情人节,"ONE SECOND AHEAD, ONE SECOND BEHIND",山下敦弘,日本,120,6月13日,13:00,上海大光明电影院,1号厅,黄浦区南京西路216号,50
58,消失的情人节,"ONE SECOND AHEAD, ONE SECOND BEHIND",山下敦弘,日本,120,6月14日,10:30,上海美琪大戏院,观众厅,静安区江宁路66号,50
59,消失的情人节,"ONE SECOND AHEAD, ONE SECOND BEHIND",山下敦弘,日本,120,6月17日,13:00,SFC上海影城,1号厅杜比剧场,长宁区新华路160号,50
60,炮打双灯,"RED FIRECRACKER, GREEN FIRECRACKER",何平,中国,117,6月16日,10:30,上海大光明电影院,2号厅,黄浦区南京西路216号,50
61,炮打双灯,"RED FIRECRACKER, GREEN FIRECRACKER",何平,中国,117,6月18日,15:30,CMG融媒影城,4号厅,徐汇区龙文路19号1-4层,50
62,霹雳贝贝,WONDER BOY,"宋崇, 翁路明",中国,90,6月10日,10:30,上海大光明电影院,3号厅,黄浦区南京西路216号,50
63,霹雳贝贝,WONDER BOY,"宋崇, 翁路明",中国,90,6月11日,15:30,华谊兄弟上海长风店,2号厅（4K SUPER CINEMA）,普陀区大渡河路196号长风大悦城5楼华谊兄弟上海影院,50
64,霹雳贝贝,WONDER BOY,"宋崇, 翁路明",中国,90,6月11日,18:30,万达影城（金山万达广场IMAX店）,5号厅,金山区龙皓路1188号万达广场4楼,50
65,霹雳贝贝,WONDER BOY,"宋崇, 翁路明",中国,90,6月12日,18:30,上海百丽宫影城（LUXE长宁来福士店）,LUXE激光巨幕厅,长宁区长宁路1123号七层701-703,50
66,霹雳贝贝,WONDER BOY,"宋崇, 翁路明",中国,90,6月18日,13:00,红星电影世界上海松江开元地中海,1号厅,松江区新松江路927号4F,50
67,寻梦环游记 (3D),COCO (3D),"李·昂克里奇, 阿德里安·莫利纳","美国,日本",108,6月10日,15:30,SFC上影影城（LaLaport上海金桥店）,1号LUXE 杜比全景声厅,浦东新区新金桥路738号啦啦宝都611号店铺,50
68,寻梦环游记 (3D),COCO (3D),"李·昂克里奇, 阿德里安·莫利纳","美国,日本",108,6月11日,18:30,上海大光明电影院,2号厅,黄浦区南京西路216号,50
69,寻梦环游记 (3D),COCO (3D),"李·昂克里奇, 阿德里安·莫利纳","美国,日本",108,6月17日,18:30,上海百丽宫影城（环贸iapm店）,激光6号厅,徐汇区淮海中路999号L6-601,50
70,寻梦环游记 (3D),COCO (3D),"李·昂克里奇, 阿德里安·莫利纳","美国,日本",108,6月18日,15:30,世纪友谊影城（LUXE南方商城店）,6号LUXE巨幕厅,闵行区沪闵路7250号百联南方二期9楼,50
71,心灵奇旅 (3D),SOUL (3D),"彼特·道格特, 坎普·鲍尔斯",美国,102,6月10日,18:30,世纪友谊影城（LUXE南方商城店）,6号LUXE巨幕厅,闵行区沪闵路7250号百联南方二期9楼,50
72,心灵奇旅 (3D),SOUL (3D),"彼特·道格特, 坎普·鲍尔斯",美国,102,6月11日,13:00,红星电影世界上海吴中路旗舰店,10号厅LUXE巨幕厅,闵行区吴中路1588号爱琴海购物公园7楼,50
73,心灵奇旅 (3D),SOUL (3D),"彼特·道格特, 坎普·鲍尔斯",美国,102,6月17日,13:00,黄浦剧场,中剧场,黄浦区北京东路780号,50
74,心灵奇旅 (3D),SOUL (3D),"彼特·道格特, 坎普·鲍尔斯",美国,102,6月18日,18:30,万达影城（宝山万达广场激光IMAX店）,10号厅,宝山区一二八纪念路936号5楼,50
75,过时·过节,HONG KONG FAMILY,曾庆宏,中国香港,113,6月10日,15:30,上海百美汇影城（静安嘉里中心店）,4K激光1号厅,静安区南京西路1551号嘉里中心N4-01,50
76,过时·过节,HONG KONG FAMILY,曾庆宏,中国香港,113,6月11日,20:40,上海大光明电影院,3号厅,黄浦区南京西路216号,50
77,白日之下,IN BROAD DAYLIGHT,简君晋,中国香港,101,6月11日,13:00,上海百美汇影城（静安嘉里中心店）,4K激光1号厅,静安区南京西路1551号嘉里中心N4-01,50
78,白日之下,IN BROAD DAYLIGHT,简君晋,中国香港,101,6月16日,13:00,上海大光明电影院,3号厅,黄浦区南京西路216号,50
79,白日之下,IN BROAD DAYLIGHT,简君晋,中国香港,101,6月17日,18:30,上海百丽宫影城（LUXE长宁来福士店）,激光3号厅,长宁区长宁路1123号七层701-703,50
80,电影史 (精选),CHOSEN MOMENTS OF HISTORIE(S) OF CINEMA,让-吕克·戈达尔,法国,84,6月10日,20:40,上海百丽宫影城（万象城店）,CINITY LUXE巨幕厅,闵行区吴中路1599号L501商铺,50
81,电影史 (精选),CHOSEN MOMENTS OF HISTORIE(S) OF CINEMA,让-吕克·戈达尔,法国,84,6月11日,20:40,UME影城（上海新天地店）,Onyx 4K LED巨幕厅,黄浦区兴业路123弄6号楼新天地时尚I座5楼,50
82,电影史 (精选),CHOSEN MOMENTS OF HISTORIE(S) OF CINEMA,让-吕克·戈达尔,法国,84,6月12日,20:40,曹杨影城,1号4K激光厅,普陀区兰溪路125号2楼,50
83,电影史 (精选),CHOSEN MOMENTS OF HISTORIE(S) OF CINEMA,让-吕克·戈达尔,法国,84,6月13日,20:40,上海美琪大戏院,观众厅,静安区江宁路66号,50
84,电影史 (精选),CHOSEN MOMENTS OF HISTORIE(S) OF CINEMA,让-吕克·戈达尔,法国,84,6月17日,20:40,SFC上海影城,2号厅Onyx,长宁区新华路160号,50
85,白塔之光,THE SHADOWLESS TOWER,张律,中国,144,6月14日,20:40,SFC上海影城,2号厅Onyx,长宁区新华路160号,50
86,囚犯之女,PRISONER'S DAUGHTER,凯瑟琳·哈德威克,美国,101,6月10日,13:00,SFC上海影城,3号厅杜比全景声,长宁区新华路160号,50
87,囚犯之女,PRISONER'S DAUGHTER,凯瑟琳·哈德威克,美国,101,6月11日,10:30,UME影城（上海新天地店）,Onyx 4K LED巨幕厅,黄浦区兴业路123弄6号楼新天地时尚I座5楼,50
88,囚犯之女,PRISONER'S DAUGHTER,凯瑟琳·哈德威克,美国,101,6月17日,10:30,曹杨影城,1号4K激光厅,普陀区兰溪路125号2楼,50
89,囚犯之女,PRISONER'S DAUGHTER,凯瑟琳·哈德威克,美国,101,6月18日,18:30,天山电影院-宛平剧院影城,1号厅,徐汇区中山南二路859号,50
90,瓦莱丽·亚当斯：金牌之上,DAME VALERIE ADAMS: MORE THAN GOLD,布里尔·马奇,新西兰,90,6月10日,10:30,AMG海上明珠影城环球港店,RealD 7号厅,普陀区中山北路3300号环球港L4039,50
91,瓦莱丽·亚当斯：金牌之上,DAME VALERIE ADAMS: MORE THAN GOLD,布里尔·马奇,新西兰,90,6月12日,15:30,橙天嘉禾影城（上海世纪汇CINITY店）,2号CINITY厅,浦东新区世纪大道1192号5楼022商铺,50
92,瓦莱丽·亚当斯：金牌之上,DAME VALERIE ADAMS: MORE THAN GOLD,布里尔·马奇,新西兰,90,6月18日,15:30,SFC上影影城（美罗城店）,4号厅,徐汇区肇嘉浜路1111号美罗城5楼,50
93,送院途中,VITAL SIGN,卓韵芝,中国香港,99,6月10日,13:00,上海百美汇影城（静安嘉里中心店）,4K激光1号厅,静安区南京西路1551号嘉里中心N4-01,50
94,送院途中,VITAL SIGN,卓韵芝,中国香港,99,6月13日,18:30,万达影城（宝山万达广场激光IMAX店）,10号厅,宝山区一二八纪念路936号5楼,50
95,门前宝地,100 YARDS,"徐浩峰, 徐骏峰",中国,108,6月11日,15:30,SFC上海影城,2号厅Onyx,长宁区新华路160号,50
96,门前宝地,100 YARDS,"徐浩峰, 徐骏峰",中国,108,6月13日,13:00,UME影城（上海新天地店）,Onyx 4K LED巨幕厅,黄浦区兴业路123弄6号楼新天地时尚I座5楼,50
97,门前宝地,100 YARDS,"徐浩峰, 徐骏峰",中国,108,6月14日,13:00,上海和平影都,杜比全景声厅,黄浦区西藏中路290号,50
98,张大磊短片集,THE SHORT FILMS BY DALEI ZHANG,张大磊,中国,90,6月11日,13:00,SFC上海影城,3号厅杜比全景声,长宁区新华路160号,50
99,张大磊短片集,THE SHORT FILMS BY DALEI ZHANG,张大磊,中国,90,6月16日,15:30,AMG海上明珠影城环球港店,RealD 7号厅,普陀区中山北路3300号环球港L4039,50
100,戈达尔早期短片集,SHORT FILMS OF JEAN-LUC GODARD,让-吕克·戈达尔,法国,64,6月9日,8:30,上海大光明电影院,1号厅,黄浦区南京西路216号,50
101,戈达尔早期短片集,SHORT FILMS OF JEAN-LUC GODARD,让-吕克·戈达尔,法国,64,6月13日,13:00,上海和平影都,杜比全景声厅,黄浦区西藏中路290号,50
102,戈达尔早期短片集,SHORT FILMS OF JEAN-LUC GODARD,让-吕克·戈达尔,法国,64,6月15日,18:30,SFC上海影城,2号厅Onyx,长宁区新华路160号,50
103,戈达尔早期短片集,SHORT FILMS OF JEAN-LUC GODARD,让-吕克·戈达尔,法国,64,6月16日,10:30,天山电影院-虹桥艺术中心旗舰店,4号厅,长宁区天山路888号,50
104,下一个素熙,NEXT SOHEE,郑朱莉,韩国,138,6月9日,8:30,上海市沪北电影院,1号厅,静安区洛川东路500号3楼,50
105,下一个素熙,NEXT SOHEE,郑朱莉,韩国,138,6月10日,15:30,世纪友谊影城（LUXE南方商城店）,6号LUXE巨幕厅,闵行区沪闵路7250号百联南方二期9楼,50
106,下一个素熙,NEXT SOHEE,郑朱莉,韩国,138,6月12日,15:30,曹杨影城,1号4K激光厅,普陀区兰溪路125号2楼,50
107,下一个素熙,NEXT SOHEE,郑朱莉,韩国,138,6月16日,15:30,上海百丽宫影城（万象城店）,CINITY LUXE巨幕厅,闵行区吴中路1599号L501商铺,50
108,下一个素熙,NEXT SOHEE,郑朱莉,韩国,138,6月18日,15:30,天山电影院-虹桥艺术中心旗舰店,4号厅,长宁区天山路888号,50
109,国际短片精选集1,INTERNATIONAL SHORT FILM COLLECTION I,"卡洛·阮, 克里斯蒂安·阿维莱斯, 沙美乐·维伦纽夫, 艾玛·布兰德霍斯特, 斯蒂芬·李, 哈里·赫兰德",,108,6月12日,18:30,SFC上影影城（美罗城店）,4号厅,徐汇区肇嘉浜路1111号美罗城5楼,50
110,国际短片精选集1,INTERNATIONAL SHORT FILM COLLECTION I,"卡洛·阮, 克里斯蒂安·阿维莱斯, 沙美乐·维伦纽夫, 艾玛·布兰德霍斯特, 斯蒂芬·李, 哈里·赫兰德",,108,6月13日,15:30,上海百丽宫影城（LUXE长宁来福士店）,LUXE激光巨幕厅,长宁区长宁路1123号七层701-703,50
111,国际短片精选集1,INTERNATIONAL SHORT FILM COLLECTION I,"卡洛·阮, 克里斯蒂安·阿维莱斯, 沙美乐·维伦纽夫, 艾玛·布兰德霍斯特, 斯蒂芬·李, 哈里·赫兰德",,108,6月14日,15:30,上海百丽宫影城（陆家嘴中心店）,LUXE厅,浦东新区浦东南路889号陆家嘴中心商场10层L1001单元,50
112,国际短片精选集1,INTERNATIONAL SHORT FILM COLLECTION I,"卡洛·阮, 克里斯蒂安·阿维莱斯, 沙美乐·维伦纽夫, 艾玛·布兰德霍斯特, 斯蒂芬·李, 哈里·赫兰德",,108,6月16日,15:30,CGV影城（白玉兰广场IMAX店）,8号厅,虹口区东长治路588号上海白玉兰广场商业裙房3层11号铺位,50
113,国际短片精选集1,INTERNATIONAL SHORT FILM COLLECTION I,"卡洛·阮, 克里斯蒂安·阿维莱斯, 沙美乐·维伦纽夫, 艾玛·布兰德霍斯特, 斯蒂芬·李, 哈里·赫兰德",,108,6月17日,15:30,上海百美汇影城（静安嘉里中心店）,4K激光1号厅,静安区南京西路1551号嘉里中心N4-01,50
114,华语青年短片集,SHORT FILM COLLECTION OF CHINESE YOUTH,"何钰鹏, 杨泽邦, 劳馨莹, 潘越",中国,87,6月16日,18:30,AMG海上明珠影城环球港店,RealD 7号厅,普陀区中山北路3300号环球港L4039,50
115,华语青年短片集,SHORT FILM COLLECTION OF CHINESE YOUTH,"何钰鹏, 杨泽邦, 劳馨莹, 潘越",中国,87,6月17日,15:30,博纳UA梅龙镇广场电影城,3号厅,静安区南京西路1038号梅龙镇广场10楼,50
116,华语青年短片集,SHORT FILM COLLECTION OF CHINESE YOUTH,"何钰鹏, 杨泽邦, 劳馨莹, 潘越",中国,87,6月18日,18:30,CMG融媒影城,4号厅,徐汇区龙文路19号1-4层,50
117,塔洛,THARLO,万玛才旦,中国,123,6月10日,20:40,上海百丽宫影城（环贸iapm店）,激光6号厅,徐汇区淮海中路999号L6-601,50
118,塔洛,THARLO,万玛才旦,中国,123,6月16日,13:00,上海大光明电影院,2号厅,黄浦区南京西路216号,50
119,纽约不眠夜,SLEEPLESS IN NEW YORK,克里斯蒂安·弗雷,瑞士,92,6月10日,18:30,上海科技影城,3号厅,黄浦区南昌路59号3楼,50
120,纽约不眠夜,SLEEPLESS IN NEW YORK,克里斯蒂安·弗雷,瑞士,92,6月15日,15:30,AMG海上明珠影城环球港店,RealD 7号厅,普陀区中山北路3300号环球港L4039,50
121,纽约不眠夜,SLEEPLESS IN NEW YORK,克里斯蒂安·弗雷,瑞士,92,6月16日,18:30,SFC上海影城,3号厅杜比全景声,长宁区新华路160号,50
122,国际短片精选集3,INTERNATIONAL SHORT FILM COLLECTION  III,"卢卡·波帕迪奇, 考塔·尤尼斯, 丹尼尔·苏亚雷斯, 萨维里奥·卡佩罗, 穆罕默德·弗莱扎德甘, 马尔科·卡诺",,113,6月9日,10:30,上海百丽宫影城（环贸iapm店）,激光6号厅,徐汇区淮海中路999号L6-601,50
123,国际短片精选集3,INTERNATIONAL SHORT FILM COLLECTION  III,"卢卡·波帕迪奇, 考塔·尤尼斯, 丹尼尔·苏亚雷斯, 萨维里奥·卡佩罗, 穆罕默德·弗莱扎德甘, 马尔科·卡诺",,113,6月10日,13:00,万达影城（宝山万达广场激光IMAX店）,10号厅,宝山区一二八纪念路936号5楼,50
124,国际短片精选集3,INTERNATIONAL SHORT FILM COLLECTION  III,"卢卡·波帕迪奇, 考塔·尤尼斯, 丹尼尔·苏亚雷斯, 萨维里奥·卡佩罗, 穆罕默德·弗莱扎德甘, 马尔科·卡诺",,113,6月12日,15:30,上海百丽宫影城（LUXE长宁来福士店）,LUXE激光巨幕厅,长宁区长宁路1123号七层701-703,50
125,国际短片精选集3,INTERNATIONAL SHORT FILM COLLECTION  III,"卢卡·波帕迪奇, 考塔·尤尼斯, 丹尼尔·苏亚雷斯, 萨维里奥·卡佩罗, 穆罕默德·弗莱扎德甘, 马尔科·卡诺",,113,6月13日,15:30,SFC上影影城（美罗城店）,4号厅,徐汇区肇嘉浜路1111号美罗城5楼,50
126,国际短片精选集3,INTERNATIONAL SHORT FILM COLLECTION  III,"卢卡·波帕迪奇, 考塔·尤尼斯, 丹尼尔·苏亚雷斯, 萨维里奥·卡佩罗, 穆罕默德·弗莱扎德甘, 马尔科·卡诺",,113,6月17日,13:00,华谊兄弟上海长风店,2号厅（4K SUPER CINEMA）,普陀区大渡河路196号长风大悦城5楼华谊兄弟上海影院,50
127,静静的嘛呢石,THE SILENT HOLY STONES,万玛才旦,中国,100,6月10日,13:00,上海百丽宫影城（环贸iapm店）,激光6号厅,徐汇区淮海中路999号L6-601,50
128,静静的嘛呢石,THE SILENT HOLY STONES,万玛才旦,中国,100,6月16日,15:30,天山电影院-虹桥艺术中心旗舰店,4号厅,长宁区天山路888号,50
129,静静的嘛呢石,THE SILENT HOLY STONES,万玛才旦,中国,100,6月17日,13:00,SFC上海影城,3号厅杜比全景声,长宁区新华路160号,50
130,必要的杀戮,ESSENTIAL KILLING,杰兹·斯科利莫夫斯基,波兰,85,6月10日,20:40,上海百丽宫影城（LUXE长宁来福士店）,激光3号厅,长宁区长宁路1123号七层701-703,50
131,必要的杀戮,ESSENTIAL KILLING,杰兹·斯科利莫夫斯基,波兰,85,6月11日,20:40,SFC上海影城,2号厅Onyx,长宁区新华路160号,50
132,必要的杀戮,ESSENTIAL KILLING,杰兹·斯科利莫夫斯基,波兰,85,6月15日,20:40,AMG海上明珠影城环球港店,RealD 7号厅,普陀区中山北路3300号环球港L4039,50
133,与安娜的四个夜晚,FOUR NIGHTS WITH ANNA,杰兹·斯科利莫夫斯基,波兰,91,6月9日,20:40,SFC上海影城,3号厅杜比全景声,长宁区新华路160号,50
134,与安娜的四个夜晚,FOUR NIGHTS WITH ANNA,杰兹·斯科利莫夫斯基,波兰,91,6月12日,20:40,上海科技影城,3号厅,黄浦区南昌路59号3楼,50
135,与安娜的四个夜晚,FOUR NIGHTS WITH ANNA,杰兹·斯科利莫夫斯基,波兰,91,6月18日,20:40,天山电影院-虹桥艺术中心旗舰店,4号厅,长宁区天山路888号,50
136,气球,BALLOON,万玛才旦,中国,103,6月9日,15:30,上海大光明电影院,3号厅,黄浦区南京西路216号,50
